TimeStamp, Joint1Tx,Joint1Ty,Joint1Tz,Joint2Tx,Joint2Ty,Joint2Tz,Joint3Tx,Joint3Ty,Joint3Tz,Joint1Ix,Joint1Iy,Joint1Iz,Joint2Ix,Joint2Iy,Joint2Iz,Joint3Ix,Joint3Iy,Joint3Iz,Joint1Mx,Joint1My,Joint1Mz,Joint2Mx,Joint2My,Joint2Mz,Joint3Mx,Joint3My,Joint3Mz,Joint1Rx,Joint1Ry,Joint1Rz,Joint2Rx,Joint2Ry,Joint2Rz,Joint3Rx,Joint3Ry,Joint3Rz,Joint1Px,Joint1Py,Joint1Pz,Joint2Px,Joint2Py,Joint2Pz,Joint3Px,Joint3Py,Joint3Pz,ThumbClosure,IndexClosure,MiddleClosure,ThumbAbduction
103.3124,-45.04877,155.1247,-30.93222,-31.99582,145.2984,-19.87344,-29.6373,144.2313,-15.80222,27.75345,-85.44711,-6.596191,55.31424,-88.19864,-5.254974,87.11039,-99.09778,-12.67722,34.47613,-78.07892,4.116215,76.13512,-62.05515,20.00817,56.91084,89.12931,170.2467,35.88646,-63.76437,16.16866,76.56678,-14.86475,57.87702,60.8202,93.864,159.5148,33.1446,-54.5191,26.39812,65.51012,-18.53983,49.44244,56.92227,87.35462,145.3687,0.2039216,0.2745098,0.3960784,0.8588235
103.3655,-45.66125,152.4692,-30.34863,-33.77557,143.2618,-19.55936,-32.49109,142.5441,-15.64481,27.18097,-85.39066,-6.637939,53.93653,-88.01056,-5.16925,85.09751,-93.64749,-7.340912,28.26324,-78.84119,3.402844,63.94728,-72.27545,10.1463,76.63234,74.77634,156.6062,29.3289,-66.6608,14.41973,67.00598,-46.24069,28.39572,78.61831,64.16128,132.7809,27.13455,-58.86288,24.88701,55.50785,-38.55109,33.16649,71.14279,50.91449,114.0186,0.1764706,0.2666667,0.3098039,0.8901961
103.4181,-45.93161,151.3782,-30.10089,-35.06442,142.6542,-19.5567,-34.68643,142.2344,-15.7963,26.8947,-85.36234,-6.658936,53.24804,-87.91949,-5.129822,84.08408,-92.29706,-6.047791,25.6183,-79.12875,3.126271,58.73536,-74.23248,8.325421,83.56596,43.5985,125.6977,26.49997,-67.78024,13.79348,62.09364,-52.64221,22.77889,82.2505,16.21094,85.97945,24.55953,-60.57947,24.41603,50.72226,-44.17105,29.15133,73.13968,22.98085,88.1337,0.1490196,0.2588235,0.2862745,0.9058824
103.4707,-46.35168,149.4887,-29.65646,-37.34882,141.6611,-19.60223,-38.61829,141.8265,-16.18704,26.03583,-85.27701,-6.722382,51.18409,-87.65689,-5.02417,81.03597,-90.02371,-3.947296,23.95823,-79.2995,2.959384,55.47602,-75.16922,7.469178,84.59013,-8.855713,73.40414,24.71427,-68.45416,13.4313,58.92269,-55.69107,20.21786,80.66634,-18.19662,52.2664,22.94035,-61.62421,24.1668,47.64098,-47.16376,27.17565,72.36277,4.808452,71.22623,0.1254902,0.2509804,0.2705882,0.9176471
103.5227,-46.61639,148.4026,-29.39798,-39.7489,141.588,-19.95233,-42.86612,142.52,-17.0546,25.46326,-85.21982,-6.765076,49.8096,-87.48962,-4.963226,79.00277,-89.16898,-3.208832,18.9531,-79.77377,2.482294,45.72665,-77.19659,5.661043,71.94729,-66.27942,16.43089,19.28749,-70.37189,12.46708,49.17873,-62.27921,15.08694,67.84655,-55.38858,17.07336,18.05183,-64.6488,23.61257,38.15545,-54.50995,22.96568,63.26608,-31.7905,38.39877,0.07843138,0.2392157,0.1960784,0.9294118
103.5761,-46.89368,147.3469,-29.14844,-43.52661,142.2885,-20.85034,-49.61246,144.8616,-19.21472,23.17342,-84.98859,-6.939117,44.32537,-86.86871,-4.78183,70.88438,-87.37878,-1.893097,11.23949,-80.40222,1.804378,30.96468,-79.08655,4.036767,48.66919,-76.24371,7.079403,10.81629,-73.06561,11.2996,34.04288,-68.5929,11.01602,45.00553,-68.22192,7.155479,10.52539,-69.04575,23.27264,23.36353,-63.00137,19.63535,42.74165,-54.29922,21.82165,0.02352941,0.2117647,0.1215686,0.9411765
103.6268,-47.0654,146.0273,-28.81003,-45.01691,141.6929,-21.00827,-52.22226,145.0265,-20.01022,19.17234,-84.57379,-7.25647,34.79705,-85.90082,-4.644348,56.7793,-85.90515,-1.296143,4.204319,-80.8844,1.224159,17.78875,-80.17899,3.100675,27.77562,-79.04407,4.768424,3.000645,-75.33203,10.5136,20.3499,-72.58569,9.124895,24.14599,-73.44101,4.581072,3.702365,-72.90353,23.44442,9.983881,-69.37384,18.53682,23.0096,-64.81995,17.23332,0,0.1568628,0.03921569,0.9529412
103.6794,-47.40591,141.8071,-27.67755,-45.29858,137.5075,-19.88455,-52.5481,140.6316,-18.73999,15.18725,-84.14499,-7.590912,25.38464,-85.00375,-4.669891,42.85142,-84.8786,-1.227966,0.8716674,-81.08597,0.9562502,11.64043,-80.57205,2.747968,18.0558,-79.85117,4.172279,-0.7245789,-76.36395,10.22281,13.92802,-74.18213,8.564097,14.36152,-75.31955,4.006401,0.4928964,-74.71387,23.67627,3.730522,-72.20901,18.47751,13.71041,-68.7894,16.40585,0,0.09411765,0,0.9921569
103.7371,-47.50464,140.4221,-27.29877,-45.37787,136.1356,-19.51068,-52.64145,139.1881,-18.31503,12.63819,-83.8613,-7.815338,19.409,-84.43744,-4.754761,34.01153,-84.2735,-1.297272,0.871663,-81.08597,0.9562444,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172274,-0.7245789,-76.36395,10.22281,13.92803,-74.18213,8.564095,14.36151,-75.31955,4.006397,0.4928939,-74.71387,23.67627,3.730523,-72.20901,18.47752,13.71041,-68.7894,16.40585,0,0.06666667,0,1
103.7873,-47.50464,140.4221,-27.29877,-45.37787,136.1356,-19.51071,-52.64145,139.1881,-18.31503,11.50925,-83.73309,-7.917572,16.7744,-84.18475,-4.808167,30.11461,-84.00659,-1.348175,0.8716618,-81.08597,0.9562446,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172274,-0.7245789,-76.36395,10.22281,13.92803,-74.18213,8.564102,14.36152,-75.31955,4.006397,0.4928964,-74.7139,23.67627,3.730528,-72.20901,18.47752,13.71041,-68.7894,16.40584,0,0.04705882,0,1
